nohup: ignoring input
Using config: Namespace(trial_name='simclr_trial', model_name='sim_clr', data_path='/data/amathur-23/ROB313', temperature=0.07, learning_rate=0.001, batch_size=16, epochs=30, early_stopping_patience=5, early_stopping_threshold=0.001, log_dir='./runs', model_save_path='/data/amathur-23/ROB313/models', gpu_id=0, seed=42, test_freq=5, pretrained=True, weight_decay=0.0001, train_backbone=True)
Loading meta file: /data/amathur-23/ROB313/train_unlabeled.csv
Using ResNet50 with 2048 FC input features
Start SimCLR training for 30 epochs.

Epoch: [0/30] (0/1891), Average loss: 2.1017, lr: 0.0010
Epoch: [0/30] (1/1891), Average loss: 2.3146, lr: 0.0010
Epoch: [0/30] (2/1891), Average loss: 2.1237, lr: 0.0010
Epoch: [0/30] (3/1891), Average loss: 2.3599, lr: 0.0010
Epoch: [0/30] (4/1891), Average loss: 2.3406, lr: 0.0010
Epoch: [0/30] (5/1891), Average loss: 2.3180, lr: 0.0010
Epoch: [0/30] (6/1891), Average loss: 2.3869, lr: 0.0010
Epoch: [0/30] (7/1891), Average loss: 2.3325, lr: 0.0010
Epoch: [0/30] (8/1891), Average loss: 2.4591, lr: 0.0010
Epoch: [0/30] (9/1891), Average loss: 2.4417, lr: 0.0010
Epoch: [0/30] (10/1891), Average loss: 2.4491, lr: 0.0010
Epoch: [0/30] (11/1891), Average loss: 2.4585, lr: 0.0010
Epoch: [0/30] (12/1891), Average loss: 2.4538, lr: 0.0010
Epoch: [0/30] (13/1891), Average loss: 2.4147, lr: 0.0010
Epoch: [0/30] (14/1891), Average loss: 2.3850, lr: 0.0010
Epoch: [0/30] (15/1891), Average loss: 2.3687, lr: 0.0010
Epoch: [0/30] (16/1891), Average loss: 2.3434, lr: 0.0010
Epoch: [0/30] (17/1891), Average loss: 2.3060, lr: 0.0010
Epoch: [0/30] (18/1891), Average loss: 2.3588, lr: 0.0010
Epoch: [0/30] (19/1891), Average loss: 2.3629, lr: 0.0010
Epoch: [0/30] (20/1891), Average loss: 2.3370, lr: 0.0010
Epoch: [0/30] (21/1891), Average loss: 2.3390, lr: 0.0010
Epoch: [0/30] (22/1891), Average loss: 2.3316, lr: 0.0010
Epoch: [0/30] (23/1891), Average loss: 2.3573, lr: 0.0010
Epoch: [0/30] (24/1891), Average loss: 2.3479, lr: 0.0010
Epoch: [0/30] (25/1891), Average loss: 2.3531, lr: 0.0010
Epoch: [0/30] (26/1891), Average loss: 2.3664, lr: 0.0010
Epoch: [0/30] (27/1891), Average loss: 2.3553, lr: 0.0010
Epoch: [0/30] (28/1891), Average loss: 2.3447, lr: 0.0010
Epoch: [0/30] (29/1891), Average loss: 2.3423, lr: 0.0010
Epoch: [0/30] (30/1891), Average loss: 2.3295, lr: 0.0010
Epoch: [0/30] (31/1891), Average loss: 2.3171, lr: 0.0010
Epoch: [0/30] (32/1891), Average loss: 2.3210, lr: 0.0010
Epoch: [0/30] (33/1891), Average loss: 2.3373, lr: 0.0010
Epoch: [0/30] (34/1891), Average loss: 2.3423, lr: 0.0010
Epoch: [0/30] (35/1891), Average loss: 2.3836, lr: 0.0010
Epoch: [0/30] (36/1891), Average loss: 2.3964, lr: 0.0010
Epoch: [0/30] (37/1891), Average loss: 2.3799, lr: 0.0010
Epoch: [0/30] (38/1891), Average loss: 2.3784, lr: 0.0010
Epoch: [0/30] (39/1891), Average loss: 2.3630, lr: 0.0010
Epoch: [0/30] (40/1891), Average loss: 2.3630, lr: 0.0010
Epoch: [0/30] (41/1891), Average loss: 2.3547, lr: 0.0010
